Description,Date
Semester 1 Teaching Begins,2021-09-20
Semester 1 Teaching Ends,2021-12-20
Revision Week Begins,2021-12-13
Revision Week Ends,2021-12-17
Christmas Holiday Begins,2021-12-20
Christmas Holiday Ends,2022-01-07
Semester 1 Exam Period Begins,2022-01-10
Semester 1 Exam Period Ends,2022-01-22
Semester 2 Teaching Begins,2022-01-31
January Exam Results Released,2022-02-16
Easter Holiday Begins,2022-04-04
Summer Exam Timetable Release,2022-04-11
Easter Holiday Ends,2022-04-22
Semester 2 Teaching Ends,2022-05-06
Semester 2 Exam Period Begins,2022-05-23
Semester 2 Exam Period Ends,2022-06-11
May Exam Results Released,2022-07-01
Supplementary Exam Timetable Release,2022-08-05
Supplementary Exam Period Begins,2022-08-15
Supplementary Exam Period Ends,2022-08-27
